gbifid,datasetkey,occurrenceid,kingdom,phylum,class,order,family,genus,species,infraspecificepithet,taxonrank,scientificname,countrycode,locality,publishingorgkey,decimallatitude,decimallongitude,coordinateuncertaintyinmeters,coordinateprecision,elevation,elevationaccuracy,depth,depthaccuracy,eventdate,day,month,year,taxonkey,specieskey,basisofrecord,institutioncode,collectioncode,catalognumber,recordnumber,identifiedby,rights,rightsholder,recordedby,typestatus,establishmentmeans,lastinterpreted,mediatype,issue
1094316571,cbf8c968-37d6-45be-bf5c-e22914a384dc,BRA:ESALQ:ESA:0000033361,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Cucurbita,Cucurbita moschata,,SPECIES,Cucurbita moschata (Duchesne) Duchesne ex Poir.,BR,,a88bec5c-1cbf-47a2-8c3e-6081804d80a5,,,,,,,,,1995-10-13T00:00Z,13,10,1995,7393329,2874509,PRESERVED_SPECIMEN,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ",ESA,33361,5,,Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.,ESA - Herbário da Escola Superior de Agricultura Luiz de Queiroz,"Lagazzi, F.R. Landgraf, G.L.",,,2016-04-17T16:31Z,,
1096719142,0943f690-fde5-11dd-83f4-b8a03c50a862,S:VascularPlants:S10-15463,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Cucurbita,Cucurbita ecuadorensis,,SPECIES,Cucurbita ecuadorensis Cutler & Whitaker,EC,"Explorations in South America. Vicinity of Guayaquil, Ecuador.",4c415e40-1e21-11de-9e40-a0d6ecebb8bf,,,,,,,,,1918-08-11T00:00Z,11,8,1918,3623454,3623454,PRESERVED_SPECIMEN,S,VascularPlants,S10-15463,24034,,,,J. N. Rose & George Rose,,,2016-04-17T16:37Z,,
1096719152,0943f690-fde5-11dd-83f4-b8a03c50a862,S:VascularPlants:S10-15453,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Cucurbita,Cucurbita moschata,,SPECIES,Cucurbita moschata (Duchesne) Duchesne ex Poir.,BO,"Plantae bolivianae. N.W.-Bolivia, Gegend von Reyes. Rurrenabaque am Rio Beni.",4c415e40-1e21-11de-9e40-a0d6ecebb8bf,,,,,,,,,,,,,7393329,2874509,PRESERVED_SPECIMEN,S,VascularPlants,S10-15453,230,,,,Ed. Fleischmann,,,2016-04-17T16:37Z,,
1022054794,4fa894f4-b6c6-4ec0-b816-9bb03b3ca106,,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Cucurbita,Cucurbita foetidissima,,SPECIES,Cucurbita foetidissima Kunth,US,n. edge Santa Maria Valley (near Nipomo-Guadalupe rd.),fb702600-a84e-11de-978d-b8a03c50a862,,,,,,,,,1947-07-19T00:00Z,19,7,1947,2874521,2874521,PRESERVED_SPECIMEN,JEPS,VascularPlants,JEPS35271,7321,,,,R. F. Hoover,,,2016-04-17T14:39Z,,
1022372508,4fa894f4-b6c6-4ec0-b816-9bb03b3ca106,,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Cucurbita,Cucurbita foetidissima,,SPECIES,Cucurbita foetidissima Kunth,US,Texas Canyon: ca 1.9 road miles NE of Bouquet Canyon Road,fb702600-a84e-11de-978d-b8a03c50a862,34.5025,-118.43444,,,,,,,1995-05-04T00:00Z,4,5,1995,2874521,2874521,PRESERVED_SPECIMEN,RSA,VascularPlants,RSA596035,8453,,,,"T. S. Ross, J. Mark Porter",,,2016-04-17T14:39Z,,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
1022410809,4fa894f4-b6c6-4ec0-b816-9bb03b3ca106,,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Cucurbita,Cucurbita foetidissima,,SPECIES,Cucurbita foetidissima Kunth,US,"Southern Pacific Railroad after flooding by Ventura River, Foster Park",fb702600-a84e-11de-978d-b8a03c50a862,34.35295045,-119.3076674,2000,,,,,,1969-06-13T00:00Z,13,6,1969,2874521,2874521,PRESERVED_SPECIMEN,SBBG,VascularPlants,SBBG41820,,,,,H. M. Pollard,,,2016-04-17T14:39Z,,COORDINATE_REPROJECTED
1022429475,4fa894f4-b6c6-4ec0-b816-9bb03b3ca106,,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Cucurbita,Cucurbita foetidissima,,SPECIES,Cucurbita foetidissima Kunth,US,"San Felipe Valley Wildlife Area: NE of Julian; Along S-2, north of Hwy. 78",fb702600-a84e-11de-978d-b8a03c50a862,33.14583,-116.54361,82,,,,,,1997-05-22T00:00Z,22,5,1997,2874521,2874521,PRESERVED_SPECIMEN,SD,VascularPlants,SD142975,4104,,,,"Jon Rebman, Amadeo Rea",,,2016-04-17T14:39Z,,
1022449078,4fa894f4-b6c6-4ec0-b816-9bb03b3ca106,,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Cucurbita,Cucurbita palmata,,SPECIES,Cucurbita palmata S. Wats.,US,Mojave Desert Barstow,fb702600-a84e-11de-978d-b8a03c50a862,34.89528,-117.02417,10000,,,,,,1965-07-06T00:00Z,6,7,1965,2874513,2874513,PRESERVED_SPECIMEN,UCR,VascularPlants,UCR18999,s.n.,,,,John C. Roos,,,2016-04-17T14:39Z,,GEODETIC_DATUM_ASSUMED_WGS84
1022510565,4fa894f4-b6c6-4ec0-b816-9bb03b3ca106,,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Cucurbita,Cucurbita palmata,,SPECIES,Cucurbita palmata S. Wats.,US,e. Goffs,fb702600-a84e-11de-978d-b8a03c50a862,34.9219,-114.9158,1000,,,,,,1939-05-10T00:00Z,10,5,1939,2874513,2874513,PRESERVED_SPECIMEN,UC,VascularPlants,UC625643,402,,,,Annie M. Alexander,,,2016-04-17T14:39Z,,
1022552567,4fa894f4-b6c6-4ec0-b816-9bb03b3ca106,,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Cucurbita,Cucurbita foetidissima,,SPECIES,Cucurbita foetidissima Kunth,US,Whittier Hills (local name for the western extremity of the Puente Hills); upper end of Turnbull Canyon.,fb702600-a84e-11de-978d-b8a03c50a862,,,,,,,,,1992-06-15T00:00Z,15,6,1992,2874521,2874521,PRESERVED_SPECIMEN,RSA,VascularPlants,RSA584912,6570,,,,Tim Ross,,,2016-04-17T14:39Z,,
