,Locus1,Locus2,Locus3,Locus4,Locus5,Locus6,Locus7,Locus8,Locus9,Locus10,Locus11,Locus12,Locus13,Locus14,Locus15,Locus16,Locus17,Locus18,Locus19,Locus20,Locus21,Locus22,Locus23,Locus24,Locus25,Locus26,Locus27,Locus28,Locus29,Locus30,Locus31,Locus32,Locus33,Locus34,Locus35,Locus36,Locus37,Locus38,Locus39,Locus40,Locus41,Locus42,Locus43,Locus44
cordata,1,1,0.5,1,0,1,0.5,0.5,0.5,0.5,0.5,1,0,1,0.5,1,0.5,1,0.5,1,0.5,1,1,1,0.5,0.5,1,0.5,0.5,0,0,1,0,0.5,1,0.5,0.5,0.5,1,1,0.5,0,0,0.5
digitata,1,1,0.5,1,0,1,1,0.5,0.5,1,0,1,0,1,0.5,1,0.5,0.5,0.5,0.5,0.5,1,0.5,1,0.5,0.5,0,0.5,0.5,0,1,1,0,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5
palmata,0.5,1,0,1,0,1,1,1,1,1,0.5,1,0,1,1,1,0.5,1,0.5,1,0,1,1,0.5,1,1,0.5,0.5,1,0.5,1,1,0,0.5,1,0.5,1,0.5,1,0.5,0.5,0.5,0,0.5
pedatifolia,1,1,1,1,0,1,0.67,1,1,1,0,1,0,1,0.67,1,1,1,1,1,0,0.33,0.67,0,1,1,0,1,1,1,1,1,0,1,0.67,1,1,1,1,1,0.67,0.33,0,1
foetidissima,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0.5,0.5,1,1,1,0,1,1,1,1,1,0.5,1,1,1,1,0.5,1,1,1,1,1,1,1,1,1,1,0
ecuadorensis,0.83,1,0.83,1,0,1,0.33,0.83,1,1,0,1,0,1,1,1,0.83,0.83,0.67,1,0.17,0.83,1,0.5,1,1,0.33,0.83,0.83,1,1,0.83,0,0.67,1,1,1,0.67,1,1,0.67,0.67,0.33,0.83
ficifolia,0.5,0.25,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0.5,0,0.5,0.5,0.5,0.25,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.5,0.5,0,0.5,0.75,0.25,0.5,0.5,0,0
lundelliana,1,1,1,0,0,1,1,0,1,1,0.25,1,1,1,1,0.75,0.25,1,1,1,1,0.25,1,1,1,1,1,0.5,0.75,1,1,1,0.5,1,1,0.75,1,0,1,1,0.75,1,1,1
moschata,1,1,0.89,1,0,1,1,0,1,1,0,1,1,1,1,1,0.67,0.89,1,1,1,1,1,0.22,0.56,1,1,0.89,1,1,1,1,0.89,1,1,1,1,1,1,1,0.78,0.11,1,1
sororia,1,1,1,0.86,0,1,1,0,0.57,1,0,1,1,0.86,1,0.86,0.86,1,1,1,1,1,1,0.29,1,1,1,1,0.86,1,1,1,0.86,0.43,1,1,1,1,1,1,1,0.43,0.71,1
argyrosperma,0.8,0.8,0.8,0.8,0,0.8,0.7,0,0.8,0.8,0,0.8,0.8,0.8,0.7,0.8,0.8,0.8,0.7,0.7,0.8,0.8,0.8,0.4,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.7,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0,0.3,0.8
andreana,3,3,2,2,0,3,2,1,3,3,1,3,1,2,3,3,1,3,1,3,1,3,3,0,3,3,2,1,3,2,3,3,0,3,2,2,3,3,3,3,1,0,2,1
maxima,1,1,1,1,0,1,1,0,1,0.9,0,1,0.2,1,1,0.7,0.8,0.8,1,1,1,0.9,1,0,1,1,1,0,1,0.8,1,1,0.4,0.4,0,1,1,0.8,1,1,1,0.8,1,0.1
martinezii,0.5,0.5,0.5,0.5,0,1,0.5,0,0,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,1,1,0.5
okeechobeensis,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
fraterna,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,0.75,1,0.75,1,1,0.75,1,0,1,1,1,0.5,1,1,1,1,0.5,1,1,0.75,1,1,1,1,1,0.75,1,1
ovifera,0,0.33,0,0,0,1,0.33,0,0,1,0,0,0,0.33,0,0,0,0.67,0,0.67,0,0,0,0,0.33,0.33,0,0,0.33,0,0,0.67,0,0,0.67,0,0,0,0.33,0.67,0,0.33,1,1
ozarkana,1,1,0.88,0.88,0.88,1,1,0,1,1,0,1,0.88,1,1,1,0.63,1,0.75,1,0.88,0.88,1,0,1,1,1,0.38,1,1,1,1,0.75,1,1,0.75,1,0.88,0.88,1,0.88,1,1,1
texana,1,1,1,0.57,0.86,1,1,0,1,1,0,1,1,1,1,1,0.57,1,1,1,1,0.86,1,0.14,1,1,1,0.71,1,0.86,1,1,0.86,1,1,0.86,1,0.86,0.86,1,1,1,1,0.86
pepo,1,0.86,0.71,0.29,1,0.86,1,0,0.86,1,0,0.86,0.71,1,0.86,0.86,0.71,1,0.71,1,0.86,0.86,0.86,0,0.86,1,0.86,0.29,0.86,0.86,0.86,0.86,0.86,0.86,1,0.86,0.86,0.71,0.86,0.86,0.71,0.86,0.86,0.86
